# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0865-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.993 0.031
#MH Acceptance-Rate:	33.39%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.814507
#Orf	k	n	r	s	zbar	Call
cds_SP5448_01815	0	25	25	377	0.900000	U
cds_SP5448_01820	0	34	34	397	0.952000	U
cds_SP5448_01825	8	68	18	270	0.005000	NE
cds_SP5448_01830	6	86	32	577	0.508000	U
cds_SP5448_01835	22	111	15	270	0.002000	NE
cds_SP5448_01845	59	222	17	217	0.001000	NE
cds_SP5448_01850	10	44	7	100	0.000000	NE
cds_SP5448_01855	2	58	27	441	0.437000	U
cds_SP5448_01860	18	45	6	134	0.000000	NE
cds_SP5448_01865	8	31	9	116	0.001000	NE
cds_SP5448_01875	0	157	157	2511	1.000000	E
cds_SP5448_01880	0	27	27	330	0.964000	U
cds_SP5448_01885	1	84	62	778	0.997000	E
cds_SP5448_01890	23	111	12	176	0.001000	NE
cds_SP5448_01895	50	277	23	307	0.019000	NE
cds_SP5448_01900	18	72	12	178	0.001000	NE
cds_SP5448_01905	7	53	15	322	0.111000	U
cds_SP5448_01910	15	78	14	148	0.001000	NE
cds_SP5448_01915	9	48	19	336	0.199000	U
cds_SP5448_01920	28	133	16	212	0.001000	NE
cds_SP5448_01925	27	134	12	138	0.001000	NE
cds_SP5448_01930	12	51	8	81	0.000000	NE
cds_SP5448_01935	9	56	19	213	0.001000	NE
cds_SP5448_01940	19	102	14	247	0.001000	NE
cds_SP5448_01945	9	153	29	362	0.107000	U
cds_SP5448_01950	14	69	15	268	0.010000	NE
cds_SP5448_01955	24	83	7	39	0.000000	NE
cds_SP5448_01960	15	81	21	290	0.040000	U
cds_SP5448_01965	18	98	31	446	0.353000	U
cds_SP5448_01970	3	50	24	265	0.041000	U
cds_SP5448_01975	14	81	11	163	0.001000	NE
cds_SP5448_01980	0	62	62	777	0.997000	E
cds_SP5448_01985	16	50	5	40	0.000000	NE
cds_SP5448_01990	2	9	5	148	0.001000	NE
cds_SP5448_01995	0	12	12	262	0.909000	U
cds_SP5448_02000	0	76	76	1458	1.000000	E
cds_SP5448_02005	0	62	62	1425	1.000000	E
cds_SP5448_02010	6	20	4	49	0.000000	NE
cds_SP5448_02015	5	18	6	83	0.000000	NE
cds_SP5448_02020	12	48	13	161	0.001000	NE
cds_SP5448_02025	8	55	16	264	0.008000	NE
cds_SP5448_02030	3	55	25	210	0.001000	NE
cds_SP5448_02035	0	81	81	1032	0.999000	E
cds_SP5448_02040	0	32	32	565	0.881000	U
cds_SP5448_02045	2	94	88	1706	1.000000	E
cds_SP5448_02050	2	63	60	1100	1.000000	E
cds_SP5448_02055	1	49	47	742	0.991000	U
cds_SP5448_02060	0	32	32	428	0.925000	U
cds_SP5448_02065	0	72	72	963	1.000000	E
cds_SP5448_02070	0	14	14	217	0.936000	U
cds_SP5448_02075	1	67	55	752	0.989000	U
cds_SP5448_02080	0	72	72	919	0.998000	E
cds_SP5448_02085	1	48	36	503	0.864000	U
cds_SP5448_02090	0	70	70	1224	1.000000	E
cds_SP5448_02095	1	22	19	386	0.675000	U
cds_SP5448_02100	1	20	12	170	0.001000	NE
cds_SP5448_02105	0	74	74	1359	1.000000	E
cds_SP5448_02110	0	45	45	836	0.982000	U
cds_SP5448_02115	1	48	28	440	0.570000	U
cds_SP5448_02120	1	72	71	1274	1.000000	E
cds_SP5448_02125	2	23	10	126	0.001000	NE
cds_SP5448_02130	5	54	28	425	0.495000	U
cds_SP5448_02135	2	44	20	218	0.001000	NE
cds_SP5448_02140	3	48	18	365	0.150000	U
cds_SP5448_02145	8	48	8	108	0.000000	NE
cds_SP5448_02150	26	120	27	345	0.143000	U
cds_SP5448_02155	0	43	43	452	0.974000	U
cds_SP5448_02160	17	48	6	74	0.000000	NE
cds_SP5448_02165	33	100	11	90	0.001000	NE
cds_SP5448_02170	5	29	7	98	0.000000	NE
cds_SP5448_02175	4	27	10	107	0.001000	NE
cds_SP5448_02180	7	46	12	157	0.001000	NE
